"Storage 105444 AM - RawData - C:\WINDOWS\Desktop\Dylan Grassie\Experiments\Cc\06-10-15\Trial 1\Cc_pH7_HEPESbuffer.spc"
"Wavelength nm.","Abs."
780.0,0.07970
781.0,0.07957
782.0,0.07947
783.0,0.07942
784.0,0.07933
785.0,0.07881
786.0,0.07860
787.0,0.07864
788.0,0.07845
789.0,0.07846
790.0,0.07848
791.0,0.07835
792.0,0.07817
793.0,0.07809
794.0,0.07799
795.0,0.07784
796.0,0.07774
797.0,0.07758
798.0,0.07779
799.0,0.07803
800.0,0.07791
